Drug Disease Matching,Drug Effectiveness Assessment,Drug Target Analysis
 'Insights into the computer-aided drug design and discovery based on anthraquinone scaffold for cancer treatment  A protocol for systematic review.txt', 'A population pharmacokinetic model for paclitaxel in the presence of a novel P-gp modulator, 'Genetic analysis of factors affecting susceptibility of Bacillus subtilis to daptomycin.txt'
 'Combination therapy with miR34a and doxorubicin synergistically inhibits Dox-resistant breast cancer progression via down-regulation of Snail through suppressing Notch NF-κB and RAS RAF MEK ERK signaling pathway.txt', Zosuquidar Trihydrochloride (LY335979).txt', 'The Skp2-SCF E3 ligase regulates Akt ubiquitination
 'Repurposing of Antimicrobial Agents for Cancer Therapy  What Do We Know.txt', 'Sustained remission following the discontinuation of tofacitinib in patients with rheumatoid arthritis (XANADU study)  an open-label randomised study.txt', glycolysis
, 'Heteroresistance to cefiderocol in carbapenem-resistant Acinetobacter baumannii in the CREDIBLE-CR study was not linked to clinical outcomes  a post hoc analysis.txt', herceptin sensitivity
,, and tumorigenesis.txt'
,, 'Molecular analysis of ciprofloxacin resistance mechanisms in Malaysian ESBL-producing Klebsiella pneumoniae isolates and development of mismatch amplification mutation assays (MAMA) for rapid detection of gyrA and parC mutations.txt'
,, 'Cloning and functional analysis of the gene encoding the 33- to 36-kilodalton outer membrane protein associated with carbapenem resistance in Acinetobacter baumannii.txt'
,, 'Genetic Characterization and Population Structure of Drug-Resistant Mycobacterium tuberculosis Isolated from Brazilian Patients Using Whole-Genome Sequencing.txt'
'The association of SNPs in ADIPOQ,'High concordance in plasma and CSF HIV-1 drug resistance mutations despite high cases of CSF viral escape in individuals with HIV-associated cryptococcal meningitis in Botswana.txt','Mechanisms of methotrexate resistance in osteosarcoma cell lines and strategies for overcoming this resistance.txt'
 ADIPOR1, 'Cost-effectiveness of genotypic antiretroviral resistance testing in HIV-infected patients with treatment failure.txt', 'Molecular mechanisms of bortezomib resistant adenocarcinoma cells.txt'
 and ADIPOR2 with insulin sensitivity in a cohort of adolescents and their parents.txt', 'Safety, 'Introduction of the mec element (methicillin resistance) into Staphylococcus aureus alters in vitro functional activities of fibrinogen and fibronectin adhesins.txt'
 'Targeted inactivation of kinesin-1 in pancreatic β-cells in vivo leads to insulin secretory deficiency.txt', tolerability, 'Notch1 regulates the expression of the multidrug resistance gene ABCC1 MRP1 in cultured cancer cells.txt'
 'Modified UCN2 peptide treatment improves skeletal muscle mass and function in mouse models of obesity-induced insulin resistance.txt', and efficacy of KP-1461 as monotherapy for 124 days in antiretroviral-experienced, 'From Drug Screening to Target Deconvolution  a Target-Based Drug Discovery Pipeline Using Leishmania Casein Kinase 1 Isoform 2 To Identify Compounds with Antileishmanial Activity.txt'
 'Plasma soluble leptin receptor levels are associated with pancreatic β-cell dysfunction in patients with type 2 diabetes.txt', HIV type 1-infected subjects.txt', 'A CRISPR-Cas9 screen identifies EXO1 as a formaldehyde resistance gene.txt'
 'Sex and type 2 diabetes  obesity-independent effects on left ventricular substrate metabolism and relaxation in humans.txt', 'Comparative Efficacy of Rosuvastatin Monotherapy and Rosuvastatin Ezetimibe Combination Therapy on Insulin Sensitivity and Vascular Inflammatory Response in Patients with Type 2 Diabetes Mellitus.txt',
 'Analysis of Insulin Resistance in Nonalcoholic Steatohepatitis.txt',,
 'Recent Advances in the Treatment of Insulin Resistance Targeting Molecular and Metabolic Pathways  Fighting a Losing Battle.txt',,
 'Prenatal androgen treatment alters body composition and glucose homeostasis in male rats.txt',,
'Malaria transmission blocking immunity and sexual stage vaccines for interrupting malaria transmission in Latin America.txt','Interactions of OP0595,'CX3CL1 and its receptor CX3CR1 interact with RhoA signaling to induce paclitaxel resistance in gastric cancer.txt'
 'The role of selected nutraceuticals in management of prediabetes and diabetes  An updated review of the literature.txt', a Novel Triple-Action Diazabicyclooctane, 'PTRF Cavin-1 enhances chemo-resistance and promotes temozolomide efflux through extracellular vesicles in glioblastoma.txt'
 'Targeting KRAS G12C mutations in colorectal cancer.txt', with β-Lactams against OP0595-Resistant Enterobacteriaceae Mutants.txt', 'Imatinib resistance associated with BCR-ABL upregulation is dependent on HIF-1alpha-induced metabolic reprograming.txt'
 'High-Throughput Screening Platform To Identify Inhibitors of Protein Synthesis with Potential for the Treatment of Malaria.txt', 'Blueberries improve endothelial function, 'The anti-erbB3 antibody MM-121 SAR256212 in combination with trastuzumab exerts potent antitumor activity against trastuzumab-resistant breast cancer cells.txt'
 'Antimyeloma Effects of the Heat Shock Protein 70 Molecular Chaperone Inhibitor MAL3-101.txt', but not blood pressure, 'Silence of p15 expression by RNAi enhances cisplatin resistance in hepatocellular carcinoma cells.txt'
 'Drugging the undruggable  activity-based protein profiling offers opportunities for targeting the KLK activome.txt', in adults with metabolic syndrome  a randomized, 'Regulators of G-Protein signaling RGS10 and RGS17 regulate chemoresistance in ovarian cancer cells.txt'
, double-blind, 'IL-13 Contributes to Drug Resistance of NK T-Cell Lymphoma Cells by Regulating ABCC4.txt'
, placebo-controlled clinical trial.txt',
, 'Ibrutinib reverses IL-6-induced osimertinib resistance through inhibition of Laminin alpha5 FAK signaling.txt',
, 'Clinical outcomes after the introduction of dolutegravir for second-line antiretroviral therapy in South Africa  a retrospective cohort study.txt',
, 'Ciprofloxacin versus vancomycin in the therapy of experimental methicillin-resistant Staphylococcus aureus endocarditis.txt',
, 'Effectiveness of phosphodiesterase-5 inhibitor therapy for portopulmonary hypertension.txt',
, 'Azithromycin for the prevention of rehospitalisation and death among Kenyan children being discharged from hospital  a double-blind,
, placebo-controlled,
, randomised controlled trial.txt',
'Estrogen and androgen-converting enzymes 17β-hydroxysteroid dehydrogenase and their involvement in cancer  with a special focus on 17β-hydroxysteroid dehydrogenase type 1,'Randomized Double-Blinded Comparison of Intermittent Boluses Phenylephrine and Norepinephrine for the Treatment of Postspinal Hypotension in Patients with Severe Pre-Eclampsia During Cesarean Section.txt','Systemic and regional haemodynamic interactions between K+ channel openers and the sympathetic nervous system in the pithed SHR.txt'
 2, 'Evaluation of Inhaled Procaterol for Potential Assist Use in Patients with Stable Chronic Obstructive Pulmonary Disease.txt', '5'AMP-activated protein kinase activity is increased in adipose tissue of northern elephant seal pups during prolonged fasting-induced insulin resistance.txt'
 and breast cancer.txt', 'Ampicillin serum levels and treatment results in gonorrhoea.txt', 'Neuregulin1-β decreases interleukin-1β-induced RhoA activation
 'Histone Deacetylase Functions in Gastric Cancer  Therapeutic Target.txt', 'Caspofungin dose escalation for invasive candidiasis due to resistant Candida albicans.txt', myosin light chain phosphorylation
 'Molecular Landscape of LncRNAs in Prostate Cancer  A focus on pathways and therapeutic targets for intervention.txt', 'Pemetrexed cisplatin as first-line chemotherapy for advanced lung cancer with brain metastases  A case report and literature review.txt', and endothelial hyperpermeability.txt'
 'VDAC1-based peptides  novel pro-apoptotic agents and potential therapeutics for B-cell chronic lymphocytic leukemia.txt',, 'Requirement of a putative mitochondrial GTPase
 'Targeting malaria parasites with novel derivatives of azithromycin.txt',, GemA
 'The therapeutic effects of traditional Chinese medicine on insulin resistance in obese mice by modulating intestinal functions.txt',, for azole susceptibility
 'FNDC5 Causes Resistance to Sorafenib by Activating the PI3K Akt Nrf2 Pathway in Hepatocellular Carcinoma Cells.txt',, virulence
 'Blueberry and mulberry juice prevent obesity development in C57BL 6 mice.txt',, and cell wall integrity in Aspergillus fumigatus.txt'
 'Melatonin receptor 1A,, 'The pharmacological impact of ATP-binding cassette drug transporters on vemurafenib-based therapy.txt'
 but not 1B,, 'Direct long read visualization reveals metabolic interplay between two antimalarial drug targets.txt'
 knockout decreases biliary damage and liver fibrosis during cholestatic liver injury.txt',, 'Binding site of the bridged macrolides in the Escherichia coli ribosome.txt'
 'The Wilms' tumor suppressor WT1 induces estrogen-independent growth and anti-estrogen insensitivity in ER-positive breast cancer MCF7 cells.txt',, 'IER3 is a crucial mediator of TAp73β-induced apoptosis in cervical cancer and confers etoposide sensitivity.txt'
,, 'Downregulation of the Ubiquitin Ligase RNF125 Underlies Resistance of Melanoma Cells to BRAF Inhibitors via JAK1 Deregulation.txt'
,, 'Diverse Mechanisms of Resistance against Osimertinib
,, a Third-Generation EGFR-TKI
,, in Lung Adenocarcinoma Cells with an EGFR-Activating Mutation.txt'
'Gentiopicroside modulates glucose homeostasis in high-fat-diet and streptozotocin-induced type 2 diabetic mice.txt','Shikonin potentiates the effect of arsenic trioxide against human hepatocellular carcinoma in vitro and in vivo.txt','The p53 upregulated modulator of apoptosis (PUMA) chemosensitizes intrinsically resistant ovarian cancer cells to cisplatin by lowering the threshold set by Bcl-x(L) and Mcl-1.txt'
 'Nigella sativa improves glycemic control and ameliorates oxidative stress in patients with type 2 diabetes mellitus  placebo controlled participant blinded clinical trial.txt', 'Efficacy of ampicillin-sulbactam versus that of cefoxitin for treatment of Escherichia coli infections in a rat intra-abdominal abscess model.txt', 'Analysis and characterization of dimerization inhibition of a multi-drug-resistant human immunodeficiency virus type 1 protease using a novel size-exclusion chromatographic approach.txt'
 'The Effect of Vegan Protein-Based Diets on Metabolic Parameters, 'Postoperative Prevention of Urinary Tract Infections in Patients after Urogynecological Surgeries-Nonantibiotic Herbal (Canephron) versus Antibiotic Prophylaxis (Fosfomycin Trometamol)  A Parallel-Group, 'Triterpenoid CDDO-EA inhibits lipopolysaccharide-induced inflammatory responses in skeletal muscle cells through suppression of NF-κB.txt'
 Expressions of Adiponectin and Its Receptors in Wistar Rats.txt', Randomized, 'Mechanisms of Hydroxyurea-Induced Cellular Senescence  An Oxidative Stress Connection.txt'
 'Low dose organochlorine pesticides and polychlorinated biphenyls predict obesity, Noninferiority Experimental Trial.txt', 'Development and characterization of a novel C-terminal inhibitor of Hsp90 in androgen dependent and independent prostate cancer cells.txt'
 dyslipidemia, 'Randomised clinical trial  the benefit of combination therapy with adefovir and lamivudine for chronic hepatitis B.txt', 'Structural and Functional Characterization of the ABCC6 Transporter in Hepatic Cells  Role on PXE
 and insulin resistance among people free of diabetes.txt', 'Long-Term Fosfomycin-Tromethamine Oral Therapy for Difficult-To-Treat Chronic Bacterial Prostatitis.txt', Cancer Therapy and Drug Resistance.txt'
 'Genomic analysis and in vivo efficacy of Pediococcus acidilactici as a potential probiotic to prevent hyperglycemia, 'Evaluation of compliance in control and prevention study of vancomycin resistant enterococcus outbreak.txt', 'P-glycoprotein expression in treated and untreated human breast cancer.txt'
 hypercholesterolemia and gastrointestinal infections.txt',, 'Salvianolic acid B suppresses EMT and apoptosis to lessen drug resistance through AKT mTOR in gastric cancer cells.txt'
 'The Relationship between Type 2 Diabetes Mellitus and Non-Alcoholic Fatty Liver Disease Measured by Controlled Attenuation Parameter.txt',, 'IF4A PDCD4 Pathway
,, a Factor for Doxorubicin Chemoresistance in a Triple-Negative Breast Cancer Cell Model.txt'
'Subtype-specific analysis of the K65R substitution in HIV-1 that confers hypersusceptibility to a novel nucleotide-competing reverse transcriptase inhibitor.txt','Biocidal efficacy of copper alloys against pathogenic enterococci involves degradation of genomic and plasmid DNAs.txt','Host-specific enzyme-substrate interactions in SPM-1 metallo-β-lactamase are modulated by second sphere residues.txt'
