Drug Disease Matching,Drug Effectiveness Assessment,Drug Target Analysis,Drug Disease Matching_Closest,Drug Effectiveness Assessment_Closest,Drug Target Analysis_Closest
 'Epidermal growth factor receptor mutation mediates cross-resistance to panitumumab and cetuximab in gastrointestinal cancer.txt', controlled trial.txt', 'Taxol‑resistant breast cancer cell‑derived exosome‑delivered miR‑187‑5p regulates the growth of breast cancer cells via ABCD2 and Wnt β‑catenin signaling.txt',Epidermal growth factor receptor mutation mediates cross-resistance to panitumumab and cetuximab in gastrointestinal cancer.txt,Randomised controlled trial.txt,Taxol‑resistant breast cancer cell‑derived exosome‑delivered miR‑187‑5p regulates the growth of breast cancer cells via ABCD2 and Wnt β‑catenin signaling.txt
 'To explore the effect of kaempferol on non-small cell lung cancer based on network pharmacology and molecular docking.txt', 'Clonal viability measurements on Plasmodium falciparum to assess in vitro schizonticidal activity of leupeptin, 'Malate dehydrogenase 2 confers docetaxel resistance via regulations of JNK signaling and oxidative metabolism.txt',To explore the effect of kaempferol on non-small cell lung cancer based on network pharmacology and molecular docking.txt,"Clonal viability measurements on Plasmodium falciparum to assess in vitro schizonticidal activity of leupeptin, chloroquine, and 5-fluoroorotate.txt",Malate dehydrogenase 2 confers docetaxel resistance via regulations of JNK signaling and oxidative metabolism.txt
 'Mulberry leaf alleviates streptozotocin-induced diabetic rats by attenuating NEFA signaling and modulating intestinal microflora.txt', chloroquine, 'Targeted CRISPR activation and knockout screenings identify novel doxorubicin transporters.txt',Mulberry leaf alleviates streptozotocin-induced diabetic rats by attenuating NEFA signaling and modulating intestinal microflora.txt,Chloroquine-resistant P.txt,Targeted CRISPR activation and knockout screenings identify novel doxorubicin transporters.txt
 'Piperaquine pharmacodynamics and parasite viability in a murine malaria model.txt', and 5-fluoroorotate.txt', 'Ceramide-activated protein phosphatase involvement in insulin resistance via Akt,Piperaquine pharmacodynamics and parasite viability in a murine malaria model.txt,53 and Meduloblastoma.txt,Insulin resistance and C-reactive protein in preeclampsia.txt
'Immune-Related Gene Signatures to Predict the Effectiveness of Chemoimmunotherapy in Triple-Negative Breast Cancer Using Exploratory Subgroup Discovery.txt','Reduction of nitric oxide level enhances the radiosensitivity of hypoxic non-small cell lung cancer.txt','SDZ 280-446,Immune-Related Gene Signatures to Predict the Effectiveness of Chemoimmunotherapy in Triple-Negative Breast Cancer Using Exploratory Subgroup Discovery.txt,Reduction of nitric oxide level enhances the radiosensitivity of hypoxic non-small cell lung cancer.txt,MDA-MB-468.txt
 'Protective role of the neuropeptide urocortin II against experimental sepsis and leishmaniasis by direct killing of pathogens.txt', 'Endoplasmic reticulum stress is involved in the response of human laryngeal carcinoma cells to Carboplatin but is absent in Carboplatin-resistant cells.txt', a novel semi-synthetic cyclopeptolide  in vitro and in vivo circumvention of the P-glycoprotein-mediated tumour cell multidrug resistance.txt',Protective role of the neuropeptide urocortin II against experimental sepsis and leishmaniasis by direct killing of pathogens.txt,Endoplasmic reticulum stress is involved in the response of human laryngeal carcinoma cells to Carboplatin but is absent in Carboplatin-resistant cells.txt,"SDZ 280-446, a novel semi-synthetic cyclopeptolide  in vitro and in vivo circumvention of the P-glycoprotein-mediated tumour cell multidrug resistance.txt"
 'Structure-based design of novel pyrimido[4, 'Determining the Delamanid Pharmacokinetics Pharmacodynamics Susceptibility Breakpoint Using Monte Carlo Experiments.txt', 'Fine mapping of the sequence requirements for binding of beta-lactamase inhibitory protein (BLIP) to TEM-1 beta-lactamase using a genetic screen for BLIP function.txt',Antimicrobial peptide capsids of de novo design.txt,Determining the Delamanid Pharmacokinetics Pharmacodynamics Susceptibility Breakpoint Using Monte Carlo Experiments.txt,Fine mapping of the sequence requirements for binding of beta-lactamase inhibitory protein (BLIP) to TEM-1 beta-lactamase using a genetic screen for BLIP function.txt
5-c, 'Penicillin pharmacodynamics in four experimental pneumococcal infection models.txt', 'A GntR family transcription factor positively regulates mycobacterial isoniazid resistance by controlling the expression of a putative permease.txt',Rare c-KIT c.txt,Penicillin pharmacodynamics in four experimental pneumococcal infection models.txt,A GntR family transcription factor positively regulates mycobacterial isoniazid resistance by controlling the expression of a putative permease.txt
'Montelukast during primary infection prevents airway hyperresponsiveness and inflammation after reinfection with respiratory syncytial virus.txt','Montelukast during primary infection prevents airway hyperresponsiveness and inflammation after reinfection with respiratory syncytial virus.txt','Atrial natriuretic peptide is negatively regulated by microRNA-425.txt',Montelukast during primary infection prevents airway hyperresponsiveness and inflammation after reinfection with respiratory syncytial virus.txt,Montelukast during primary infection prevents airway hyperresponsiveness and inflammation after reinfection with respiratory syncytial virus.txt,Atrial natriuretic peptide is negatively regulated by microRNA-425.txt
 'The Effect of a Short Period of Supplementation with Glutamine Dipeptide on the Cognitive Responses after a Resistance Training Session of Women with HIV AIDS  A Randomized Double-Blind Placebo-Controlled Crossover Study.txt', 'The Effect of a Short Period of Supplementation with Glutamine Dipeptide on the Cognitive Responses after a Resistance Training Session of Women with HIV AIDS  A Randomized Double-Blind Placebo-Controlled Crossover Study.txt', 'FOXP1 acts through a negative feedback loop to suppress FOXO-induced apoptosis.txt',The Effect of a Short Period of Supplementation with Glutamine Dipeptide on the Cognitive Responses after a Resistance Training Session of Women with HIV AIDS  A Randomized Double-Blind Placebo-Controlled Crossover Study.txt,The Effect of a Short Period of Supplementation with Glutamine Dipeptide on the Cognitive Responses after a Resistance Training Session of Women with HIV AIDS  A Randomized Double-Blind Placebo-Controlled Crossover Study.txt,FOXP1 acts through a negative feedback loop to suppress FOXO-induced apoptosis.txt
 'Glycine-amide is an active metabolite of the antiretroviral tripeptide glycyl-prolyl-glycine-amide.txt', 'Mutation patterns of integrase gene affect antiretroviral resistance in various non-B subtypes of human immunodeficiency virus Type-1 and their implications for patients' therapy.txt', 'The cssR gene of Corynebacterium glutamicum plays a negative regulatory role in stress responses.txt',Glycine-amide is an active metabolite of the antiretroviral tripeptide glycyl-prolyl-glycine-amide.txt,Mutation patterns of integrase gene affect antiretroviral resistance in various non-B subtypes of human immunodeficiency virus Type-1 and their implications for patients' therapy.txt,The cssR gene of Corynebacterium glutamicum plays a negative regulatory role in stress responses.txt
 'HIV integrase inhibitors block replication of alpha-, 'The World Health Organization's Response to Emerging Human Immunodeficiency Virus Drug Resistance and a Call for Global Action.txt', 'Genomic analysis reveals a point mutation in the two-component sensor gene graS that leads to intermediate vancomycin resistance in clinical Staphylococcus aureus.txt',"HIV integrase inhibitors block replication of alpha-, beta-, and gammaherpesviruses.txt",The World Health Organization's Response to Emerging Human Immunodeficiency Virus Drug Resistance and a Call for Global Action.txt,Genomic analysis reveals a point mutation in the two-component sensor gene graS that leads to intermediate vancomycin resistance in clinical Staphylococcus aureus.txt
 beta-, 'EMAP-II sensitize U87MG and glioma stem-like cells to temozolomide via induction of autophagy-mediated cell death and G2 M arrest.txt', 'Cancer-associated fibroblast exosomes promote chemoresistance to cisplatin in hepatocellular carcinoma through circZFR targeting signal transducers and activators of transcription (STAT3)  nuclear factor -kappa B (NF-κB) pathway.txt',Obituary.txt,EMAP-II sensitize U87MG and glioma stem-like cells to temozolomide via induction of autophagy-mediated cell death and G2 M arrest.txt,Cancer-associated fibroblast exosomes promote chemoresistance to cisplatin in hepatocellular carcinoma through circZFR targeting signal transducers and activators of transcription (STAT3)  nuclear factor -kappa B (NF-κB) pathway.txt
 and gammaherpesviruses.txt', 'Effects of Shenlian formula on microbiota and inflammatory cytokines in adults with type 2 diabetes  a double-blind randomized clinical trial.txt', 'A 20(S)-protopanoxadiol derivative overcomes multi-drug resistance by antagonizing ATP-binding cassette subfamily B member 1 transporter function.txt',Update on herpesvirus infections.txt,Effects of Shenlian formula on microbiota and inflammatory cytokines in adults with type 2 diabetes  a double-blind randomized clinical trial.txt,A 20(S)-protopanoxadiol derivative overcomes multi-drug resistance by antagonizing ATP-binding cassette subfamily B member 1 transporter function.txt
 'EMAP-II sensitize U87MG and glioma stem-like cells to temozolomide via induction of autophagy-mediated cell death and G2 M arrest.txt', 'Radio-sensitization effect of an mTOR inhibitor, 'Genome-Wide Scans and Transcriptomic Analyses Characterize Selective Changes as a Result of Chlorantraniliprole Resistance in Plutella xylostella.txt',EMAP-II sensitize U87MG and glioma stem-like cells to temozolomide via induction of autophagy-mediated cell death and G2 M arrest.txt,Identification of novel inhibitors of M.txt,Genome-Wide Scans and Transcriptomic Analyses Characterize Selective Changes as a Result of Chlorantraniliprole Resistance in Plutella xylostella.txt
 'Ferroptosis in Hepatocellular Carcinoma  Mechanisms, temsirolimus, 'Resistance to neuraminidase inhibitors conferred by an R292K mutation in a human influenza virus H7N9 isolate can be masked by a mixed R K viral population.txt',Ferroptosis in hepatocellular carcinoma  mechanisms and targeted therapy.txt,Sirolimus-FKBP12.txt,Resistance to neuraminidase inhibitors conferred by an R292K mutation in a human influenza virus H7N9 isolate can be masked by a mixed R K viral population.txt
 Drug Targets and Approaches to Clinical Translation.txt', on lung adenocarcinoma A549 cells under normoxic and hypoxic conditions.txt', 'Intra-Tumoral Expression of SLC7A11 Is Associated with Immune Microenvironment,"Ferroptosis in Hepatocellular Carcinoma  Mechanisms, Drug Targets and Approaches to Clinical Translation.txt","Radio-sensitization effect of an mTOR inhibitor, temsirolimus, on lung adenocarcinoma A549 cells under normoxic and hypoxic conditions.txt","Intra-Tumoral Expression of SLC7A11 Is Associated with Immune Microenvironment, Drug Resistance, and Prognosis in Cancers  A Pan-Cancer Analysis.txt"
 'Mechanisms of doxorubicin resistance in hepatocellular carcinoma.txt', 'The Dual Role of Autophagy in Crizotinib-Treated ALK(+) ALCL  From the Lymphoma Cells Drug Resistance to Their Demise.txt', Drug Resistance,Mechanisms of doxorubicin resistance in hepatocellular carcinoma.txt,The Dual Role of Autophagy in Crizotinib-Treated ALK(+) ALCL  From the Lymphoma Cells Drug Resistance to Their Demise.txt,Drug resistance.txt
 'OCTN1 Is a High-Affinity Carrier of Nucleoside Analogues.txt', 'Multidrug Resistance of Cancer Cells and the Vital Role of P-Glycoprotein.txt', and Prognosis in Cancers  A Pan-Cancer Analysis.txt',OCTN1 Is a High-Affinity Carrier of Nucleoside Analogues.txt,Multidrug Resistance of Cancer Cells and the Vital Role of P-Glycoprotein.txt,Pan-Cancer Analysis of the Characteristics of LY96 in Prognosis and Immunotherapy Across Human Cancer.txt
'Nanotechnology - a robust tool for fighting the challenges of drug resistance in non-small cell lung cancer.txt','Bayesian estimation of mixture models with prespecified elements to compare drug resistance in treatment-naive and experienced tuberculosis cases.txt','Porin involvement in cephalosporin and carbapenem resistance of Burkholderia pseudomallei.txt',Nanotechnology - a robust tool for fighting the challenges of drug resistance in non-small cell lung cancer.txt,Bayesian estimation of mixture models with prespecified elements to compare drug resistance in treatment-naive and experienced tuberculosis cases.txt,Porin involvement in cephalosporin and carbapenem resistance of Burkholderia pseudomallei.txt
